"corpus","preloaded/frtenten17_fl2"
"intérieur",741994
"appareil",741675
"succès",741431
"caractère",741192
"présentation",740850
"technologie",737561
"plupart",736449
"commerce",735379
"exposition",729820
"événement",729055
"parc",727163
"compétence",726271
"monsieur",725572
"gauche",725488
"accueil",723925
"difficulté",722295
"contact",718957
"étape",718568
"anglais",718007
"hôtel",716942
"professeur",713641
"professionnel",713511
"partenaire",710823
"étudiant",710676
"agence",709827
"sortie",709151
"match",708504
"atelier",708211
"dispositif",707868
"n",706741
"journal",705755
"cest",703737
"logement",703356
"table",700752
"jardin",697109
"élection",695811
"champ",695746
"processus",695198
"puissance",693564
"proposition",692084
"écran",686390
"compagnie",686184
"bâtiment",684650
"artiste",683747
"crise",683349
"second",681662
"international",680912
"centimètre",678635
"débat",678600
"banque",677727
"françois",674378
"mètre",672608
"ouverture",672295
"frère",670477
"roman",666314
"ii",664908
"collection",664798
"surface",664632
"limite",664408
"envie",664057
"propos",659318
"administration",659250
"théâtre",658898
"discussion",658640
"peine",657761
"lutte",657476
"machine",656341
"or",654810
"matin",654690
"conférence",654417
"coût",653600
"métier",653548
"unité",653536
"achat",652910
"procédure",652854
"éducation",652190
"échange",649846
"justice",647296
"cuisine",647088
"bout",645042
"moteur",644500
"reste",644070
"tableau",639437
"train",638043
"parole",637446
"logiciel",636645
"feu",633404
"droite",631376
"intervention",631109
"commande",630417
"presse",630121
"six",629946
"performance",629901
"conséquence",627193
"enquête",624837
"recette",623644
"détail",621208
"combat",620139
"e",619332
"course",619041
"mémoire",618284
"soutien",616603
"bord",616408
"états-unis",615193
"directeur",613649
"différence",612298
"fête",610972
"médecin",609267
"château",608659
"véhicule",608575
"chiffre",605053
"assurance",604510
"été",601562
"port",600156
"soleil",598807
"regard",597919
"adresse",597437
"afrique",596711
"erreur",596668
"responsabilité",592636
"mal",591840
"victime",591826
"réalisation",590241
"cinéma",589692
"réunion",589655
"univers",588810
"entretien",588706
"consommation",587942
"propriété",586156
"gamme",585422
"avantage",584449
"démarche",582071
"émission",580358
"crédit",579978
"salon",579333
"p",578417
"stratégie",578300
"salarié",578250
"carrière",576011
"assemblée",574914
"aspect",573749
"chanson",572841
"vin",572587
"défense",571140
"séjour",570464
"bien",569748
"no",568637
"blog",568501
"coupe",566462
"volume",566245
"expression",565265
"test",563132
"agent",563038
"critère",562611
"musée",561934
"h",561219
"fruit",559707
"siège",557613
"exercice",557081
"chance",557048
"signe",556728
"papier",556186
"fil",555507
"industrie",555181
"michel",555176
"allemagne",554473
"preuve",554415
"mur",554069
"organisme",554038
"tendance",553737
"milliard",551042
"institut",550977
"total",550736
"vitesse",550670
"investissement",550049
"endroit",549892
"approche",548399
"concours",548224
"parcours",546970
"contexte",546729
"volonté",546588
"convention",546192
"etc.",546093
"hauteur",545831
"candidat",542807
"lecteur",542285
"louis",541882
"chat",541747
"arme",539104
"fonctionnement",538806
"majorité",538114
"mariage",537186
"effort",537129
"police",534893
"être",534821
"poids",534336
"forum",532514
"épisode",531675
"dix",531185
"peau",530651
"patrimoine",529401
"avenir",529159
"peur",528320
"pensée",527625
"évaluation",526882
"soirée",526779
"nouveau",525386
"victoire",524018
"couple",523746
"téléphone",522036
"super",521877
"découverte",521556
"maire",521135
"croissance",521065
"option",520268
"revue",520152
"exploitation",519975
"vacance",519808
"équipement",519504
"dimension",517332
"jacques",517187
"révolution",516956
"publication",516790
"support",513117
"engagement",512760
"format",512165
"chaîne",512147
"impression",511969
"paul",511316
"phase",510897
"patient",510316
"licence",510081
"définition",509090
"championnat",508822
"bande",508422
"maximum",507971
"œuvres",506394
"confiance",505955
"statut",504276
"spectacle",503680
"plante",503152
"réflexion",501154
"distance",499982
"figure",497889
"i",497565
"responsable",497272
"concept",496263
"absence",494733
"location",494081
"ordinateur",493960
"arrivé",492606
"naissance",490356
"lyon",490339
"génération",489463
"propriétaire",489274
"philippe",488586
"station",487696
"rendez-vous",487395
"réforme",486929
"discours",486692
"perte",485753
"importance",485662
"conception",485341
"conscience",484571
"participation",481343
"modification",480929
"huile",480802
"chapitre",480790
"montagne",480360
"média",479494
"budget",478429
"guide",478020
"déclaration",477820
"pression",477489
"avant",476654
"vision",476462
"sélection",476024
"côte",475715
"initiative",475615
"proximité",475526
"cité",474094
"mme",473408
"forêt",473003
"seigneur",472889
"animation",472269
"disque",472137
"institution",472017
"arrêt",471829
"essai",471103
"attaque",470935
"théorie",470656
"respect",469310
"température",469016
"millimètre",468764
"traduction",467425
"norme",466453
"canada",466452
"revenu",466414
"paix",465657
"instant",465429
"existence",464969
"chien",464729
"journaliste",464676
"arbre",463657
"l.",461780
"bataille",459891
"charles",459728
"financement",458086
"délai",457074
"gaz",456744
"enjeu",456689
"lit",456426
"personnel",455331
"feuille",455096
"pas",454883
"new",453444
"critique",452921
"violence",452869
"séance",452748
"inscription",452440
"impact",452428
"vérité",451527
"comportement",451390
"préparation",449362
"aventure",448266
"retraite",447991
"fleur",447822
"phénomène",446566
"ouest",446333
"marche",445770
"défaut",443816
"obligation",443503
"présent",443223
"peinture",441348
"réserve",440552
"piste",438639
"hiver",437824
"notion",437504
"individu",436996
"cheval",436315
"goût",436257
"italie",436056
"manifestation",435613
"province",435113
"sexe",433518
"conflit",432198
"collectivité",432084
"description",431816
"local",431774
"autour",431639
"collège",431197
"google",431003
"étranger",430313
"plage",429767
"radio",429534
"honneur",428402
"âme",427445
"haut",427008
"moitié",426479
"tarif",426365
"fer",425204
"appartement",424706
"épreuve",424031
"espagne",423847
"tradition",423820
"chine",423797
"identité",423548
"laboratoire",423157
"contraire",422928
"prestation",422143
"division",422001
"québec",420891
"statistique",420864
"masse",420196
"football",419025
"juge",418544
"réduction",418345
"noël",418132
"frai",417409
"capitale",416461
"concert",413888
"écriture",413388
"stade",413082
"avocat",413032
"bras",412657
"vol",412555
"prince",412344
"ciel",412228
"résistance",412158
"quotidien",412084
"attente",411139
"représentation",410598
"dessin",408577
"sentiment",408090
"explication",407965
"info",407754
"j.",407398
"innovation",406273
"clé",406181
"partenariat",406179
"représentant",406012
"vent",405632
"religion",405199
"festival",404500
"augmentation",404320
"bas",404024
"visage",403736
"annonce",403642
"fédération",401179
"lycée",400487
"pont",400055
"tribunal",399557
"matériel",399523
"paysage",398611
"vote",398340
"jeunesse",398216
"impôt",397197
"sept",397080
"influence",396559
"bain",396292
"quantité",395249
"cycle",394869
"verre",394803
"foi",393921
"congrès",392985
"frontière",392590
"matériau",391819
"nicolas",391660
"stage",391141
"courant",391041
"distribution",389906
"montant",389326
"moyenne",388845
"dos",388579
"dimanche",387452
"facteur",386591
"examen",386124
"échelle",384903
"étoile",383916
"chercheur",383865
"agriculture",383596
"résidence",383273
"citoyen",382948
"motif",382828
"caractéristique",382638
"repas",382161
"lac",382091
"collaboration",381662
"camp",381316
"actualité",381176
"notice",381077
"magasin",380739
"longueur",380200
"apprentissage",379040
"amérique",378882
"sang",378423
"gare",378387
"paiement",377124
"idéal",377017
"planète",376395
"décret",376104
"dollar",375641
"secrétaire",375147
"robert",374971
"fr",373345
"garde",373106
"faute",372958
"littérature",372408
"somme",372287
"empire",372231
"formule",371669
"david",371631
"classement",371335
"faveur",370980
"compétition",370429
"réaction",369773
"don",369534
"perspective",369021
"récit",368871
"instrument",368537
"com",366845
"promotion",365930
"rêve",365696
"bilan",364205
"fiche",363007
"hôpital",362075
"amélioration",361601
"enseignant",361369
"spécialiste",360776
"télévision",360474
"fenêtre",360423
"syndicat",360139
"cellule",359425
"rivière",359366
"profil",359262
"souvenir",359144
"composition",358655
"personnalité",358485
"samedi",357727
"alimentation",357630
"front",357561
"aménagement",357458
"vallée",357443
"domicile",356614
"architecture",356430
"g",356350
"transfert",355609
"sœur",355252
"bonheur",355041
"reprise",355035
"dizaine",354830
"boutique",354758
"diffusion",353382
"c.",352632
"fondation",352538
"œil",352311
"piscine",352040
"morceau",351588
"académie",351095
"expert",350406
"passé",349848
"souci",348887
"langage",348853
"beauté",348639
"efficacité",348093
"centaine",347677
"serveur",347423
"phrase",347346
"contribution",346190
"salaire",346143
"calcul",345615
"opposition",345517
"sac",345483
"règlement",345381
"urgence",345356
"café",344880
"totalité",344805
"iii",344447
"dépense",344274
"archive",343589
"habitude",343305
"confort",343271
"circuit",343225
"renseignement",343036
"témoignage",342702
"russie",342397
"accident",342153
"japon",341827
"poisson",341313
"rythme",340550
"passion",339485
"conseiller",339417
"parlement",338857
"cheveu",338324
"plateforme",337841
"profit",337672
"avance",337670
"garantie",337618
"manque",337282
"ligue",337265
"bateau",336408
"v",336059
"baisse",335437
